Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
   691;    3.00; 53.0800;  8.8000;17960101;18031231;Bremen
   691;   13.70; 53.0751;  8.8107;18040101;18281231;Bremen
   691;    4.90; 53.0785;  8.8004;18290101;18710630;Bremen
   691;    4.70; 53.0782;  8.8002;18710701;18781231;Bremen
   691;    6.00; 53.0843;  8.7965;18790101;18890331;Bremen
   691;    4.00; 53.0739;  8.8308;18890401;18900406;Bremen
   691;    4.00; 53.0773;  8.8300;18900407;18951031;Bremen
   691;    7.00; 53.0940;  8.7415;18951101;19351231;Bremen
   691;    4.00; 53.0485;  8.7990;19360101;19451231;Bremen
   691;    5.00; 53.0485;  8.8020;19460101;19470228;Bremen
   691;    3.00; 53.0976;  8.8117;19470301;19490131;Bremen
   691;    4.00; 53.0516;  8.7884;19490201;19530621;Bremen
   691;    3.22; 53.0518;  8.7882;19530622;19720308;Bremen
   691;    3.67; 53.0519;  8.7882;19720309;19730930;Bremen
   691;    3.67; 53.0519;  8.7882;19731001;19780531;Bremen
   691;    4.05; 53.0445;  8.7985;19780601;20080930;Bremen
   691;    4.04; 53.0451;  8.7981;20081001;        ;Bremen
